Key,Source,Context,Changes,English,German
bookFakeGucci3Desc,schematic,backpack,new,In the book you can see an illustration of how to make a Military backpack - however the instructions are only in Chinese.,In dem Buch ist eine Abbildung zu sehen wie man einen Gucci Rucksack herstellen kann - allerdings ist die Anleitung nur auf chinesisch.


modClothingStoragePocket,itemMods,pocket,rework,Small Pocket,Kleine Tasche
modClothingCargoStoragePocket,itemMods,pocket,rework,Large Pocket,Große Tasche
modClothingCargo2StoragePocket,itemMods,pocket,new,Coat Pocket,Manteltasche
pocketDesc,description,pocket,new,A pocket that you can sew on your pants or jacket to carry more items.,Eine Tasche die du an deine Hose oder Jacke nähen kannst um mehr Gegenstände zu tragen.
pocket2Desc,description,pocket,new,A pocket that you can sew on your jacket to carry more items.,Eine Tasche die du an deine Jacke nähen kannst um mehr Gegenstände zu tragen.

drugSteroidsDesc,description,drugs,rework,Steroids make you stronger and increase melee damage by 50% and your inventory size by 9. \n\nSide effects may include low strength and addiction for some users after discontinued use.,Steroide machen dich stärker und erhöhen deinen Nahkampfschaden um 50% sowie deine Inventargröße um 9. \n\nAls Nebenwirkungen können nach dem Absetzen bei manchen Anwendern unter anderem Schwäche und Abhängigkeit auftreten.
